Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2020-08-10,2.08,2.2,2924.16,2903.62,2903.03
2021-02-26,3.04,3.16,2941.69,2923.07,2920.65
2021-03-04,3.06,3.18,2942.75,2924.18,2923.13
2021-01-08,2.51,2.63,2989.65,2970.17,2966.41
2020-12-01,2.89,3.01,2876.44,2857.43,2856.36
2020-11-19,2.99,3.11,2847.74,2828.83,2828.04
2021-02-18,2.7,2.82,2986.3,2967.25,2966.23
2021-02-23,2.86,2.98,2965.41,2946.57,2945.53
2021-01-13,2.71,2.83,2965.62,2946.38,2944.78
2020-05-13,3.56,3.68,2654.4,2635.27,2635.16
2020-05-15,3.53,3.65,2658.71,2639.57,2640.14
2020-05-28,2.84,2.96,2770.09,2750.12,2750.2
2020-07-31,2.06,2.18,2923.65,2903.02,2901.74
2020-09-21,2.77,2.89,2826.89,2807.54,2806.99
2020-08-25,2.43,2.55,2870.27,2850.32,2849.93
2020-08-17,2.32,2.44,2886.23,2866.07,2865.69
2021-01-28,2.84,2.96,2953.65,2934.66,2934.04
2020-12-10,2.46,2.58,2957.65,2938.11,2936.94
2020-12-16,2.41,2.53,2972.86,2953.27,2951.78
2021-02-11,2.66,2.78,2988.22,2969.11,2968.55
2020-12-15,2.39,2.51,2974.66,2955.04,2953.56
2021-02-19,2.77,2.89,2977.59,2958.63,2956.21
2020-05-19,3.35,3.47,2687.79,2668.43,2668.39
2020-06-03,2.68,2.8,2795.7,2775.57,2775.67
2020-06-22,2.69,2.81,2796.68,2776.7,2776.19
2020-08-20,2.57,2.69,2845.61,2825.82,2825.41
2020-09-24,2.74,2.86,2835.62,2816.25,2815.47
2020-11-16,2.86,2.98,2866.09,2846.99,2846.22
2021-02-05,2.66,2.78,2987.17,2968.01,2966.82
2021-02-09,2.69,2.81,2982.32,2963.22,2962.66
2021-03-18,3.16,3.28,2946.94,2928.5,2927.29
2020-11-30,2.87,2.99,2878.57,2859.52,2858.46
2020-12-09,2.51,2.63,2948.33,2928.85,2927.68
2021-03-01,3.23,3.35,2913.33,2894.93,2893.87
2020-12-29,2.38,2.5,2994.98,2975.35,2973.9
2020-06-29,2.66,2.78,2805.3,2785.32,2784.76
2020-05-14,3.69,3.81,2633.79,2614.84,2614.72
2020-06-04,2.7,2.82,2792.22,2772.14,2772.23
2020-05-18,3.43,3.55,2674.82,2655.56,2655.51
2020-11-17,2.88,3.0,2863.67,2844.6,2843.82
2020-09-30,2.87,2.99,2818.66,2799.48,2798.7
2020-09-14,2.45,2.57,2876.18,2856.37,2855.86
2021-02-24,2.87,2.99,2964.87,2946.04,2945.0
2021-03-12,3.13,3.25,2946.8,2928.3,2925.24
2021-03-15,3.09,3.21,2954.19,2935.65,2934.45
2020-12-21,2.52,2.64,2961.75,2942.29,2940.8
2020-12-03,2.72,2.84,2905.74,2886.53,2885.47
2021-01-29,2.74,2.86,2970.77,2951.66,2950.48
2021-02-04,2.59,2.71,2997.24,2977.99,2977.38
2020-12-07,2.57,2.69,2933.56,2914.16,2913.11
2021-02-12,2.7,2.82,2984.27,2965.2,2962.77
2020-04-13,3.41,3.53,2679.39,2659.81,2659.38
2020-04-16,3.13,3.25,2726.73,2706.78,2706.47
