Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2022-08-24,11.92,12.04,490.5,486.96,486.96
2022-07-14,13.22,13.34,449.47,446.2,446.2
2022-07-27,13.38,13.5,447.41,444.16,444.16
2022-03-16,12.35,12.47,454.59,451.11,451.11
2022-03-07,11.98,12.1,463.4,459.83,459.83
2022-04-01,11.46,11.58,482.23,478.54,478.54
2022-03-14,12.41,12.53,452.53,449.06,449.06
2022-03-29,11.45,11.57,481.89,478.21,478.21
2022-02-23,11.47,11.59,476.77,473.08,473.08
2022-03-15,12.47,12.59,451.11,447.65,447.65
2022-03-17,12.42,12.54,452.89,449.42,449.42
2022-02-22,11.41,11.53,478.32,474.61,474.61
2022-06-07,12.73,12.85,456.53,453.14,453.14
2022-04-26,12.06,12.18,468.3,464.76,464.76
