Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2020-01-06,6.42,6.54,733.89,729.79,729.61
2020-04-02,6.81,6.93,732.25,728.37,728.18
2019-03-21,8.42,8.54,627.22,623.23,623.03
2019-06-06,7.9,8.02,655.26,651.22,651.02
2019-01-15,8.87,8.99,603.19,599.25,599.04
2019-03-01,8.82,8.94,611.57,607.66,607.45
2019-07-08,6.98,7.1,691.27,687.04,686.67
2019-07-04,6.96,7.08,691.42,687.18,687.0
2019-09-13,6.94,7.06,701.59,697.45,697.26
2019-07-18,6.97,7.09,692.92,688.7,688.51
2019-11-11,6.27,6.39,732.49,728.27,728.09
2019-11-12,6.24,6.36,733.72,729.5,729.32
2019-07-30,6.85,6.97,698.63,694.4,694.22
2019-10-24,6.15,6.27,734.64,730.37,730.19
2019-08-08,6.84,6.96,700.27,696.05,695.87
2019-07-02,7.02,7.14,688.93,684.7,684.51
2019-05-28,8.49,8.61,634.25,630.35,630.14
2019-06-12,7.59,7.71,666.6,662.49,662.3
2019-02-07,8.76,8.88,610.27,606.33,606.12
2019-04-09,8.77,8.89,618.34,614.45,614.25
2019-06-27,7.28,7.4,679.24,675.07,674.88
2019-09-26,6.69,6.81,711.97,707.78,707.59
2019-07-16,6.88,7.0,695.73,691.49,691.3
2019-07-03,7.1,7.22,686.29,682.09,681.9
2019-06-18,7.42,7.54,673.23,669.09,668.9
2019-06-19,7.5,7.62,670.66,666.54,666.35
2019-07-17,6.95,7.07,693.44,689.21,689.03
2019-10-16,6.3,6.42,728.24,723.99,723.81
2018-12-13,9.64,9.76,574.0,570.23,570.02
2018-10-25,10.0,10.12,555.78,552.06,551.85
2018-09-26,11.75,11.87,499.84,496.5,496.28
2018-08-16,11.31,11.43,506.24,502.79,502.57
2019-05-30,8.22,8.34,643.55,639.58,639.38
2019-06-13,7.55,7.67,668.17,664.05,663.86
2019-01-28,8.87,8.99,605.02,601.09,600.89
2019-04-17,8.76,8.88,619.9,616.02,615.82
2019-02-12,8.79,8.91,609.89,605.96,605.75
2019-02-20,8.53,8.65,619.73,615.74,615.53
2019-08-21,6.89,7.01,700.17,695.99,695.8
2019-08-23,6.92,7.04,699.5,695.32,695.13
2019-09-04,7.01,7.13,697.86,693.72,693.53
2019-11-08,6.24,6.36,733.37,729.14,728.96
2018-11-06,9.73,9.85,565.72,561.94,561.73
2018-11-07,9.71,9.83,566.56,562.78,562.57
2018-11-30,9.62,9.74,572.75,568.96,568.75
2018-09-27,11.57,11.69,505.12,501.74,501.52
2018-08-17,11.65,11.77,496.74,493.37,493.15
2019-02-21,8.73,8.85,613.3,609.36,609.15
2019-06-14,7.49,7.61,670.43,666.3,666.11
2019-06-07,7.79,7.91,659.18,655.12,654.92
2019-03-28,9.02,9.14,608.61,604.77,604.56
2019-02-13,8.69,8.81,613.4,609.44,609.24
2019-02-22,8.72,8.84,613.83,609.89,609.68
2019-05-10,8.55,8.67,629.83,625.92,625.72
